Ref,Val,Package,PosX,PosY,Rot,Side
"C1","104","C_0805_2012Metric",136.862500,-82.600000,180.000000,bottom
"C2","104","C_0805_2012Metric",67.250000,-13.437500,90.000000,bottom
"C3","104","C_0805_2012Metric",49.550000,-85.962500,270.000000,bottom
"C4","104","C_0805_2012Metric",231.350000,-13.937500,90.000000,bottom
"C5","1uF","C_0805_2012Metric",262.500000,-21.937500,270.000000,bottom
"C6","1uF","C_0805_2012Metric",245.750000,-29.062500,90.000000,bottom
"C7","1uF","C_0805_2012Metric",258.062500,-32.250000,0.000000,bottom
"C8","1uF","C_0805_2012Metric",245.750000,-20.062500,270.000000,bottom
"C9","22pF","C_0805_2012Metric",267.437500,-26.750000,180.000000,bottom
"C10","22pF","C_0805_2012Metric",270.500000,-21.562500,270.000000,bottom
"C11","1uF","C_0805_2012Metric",253.187500,-15.750000,180.000000,bottom
"C12","104","C_0805_2012Metric",26.837500,-82.150000,180.000000,bottom
"C13","104","C_0805_2012Metric",301.850000,-14.100000,90.000000,bottom
"C14","104","C_0805_2012Metric",32.500000,-44.850000,90.000000,bottom
"C15","104","C_0805_2012Metric",318.900000,-32.800000,0.000000,bottom
"C16","104","C_0805_2012Metric",213.800000,-87.212500,270.000000,bottom
"C17","104","C_0805_2012Metric",147.100000,-13.837500,90.000000,bottom
"C18","104","C_0805_2012Metric",319.012500,-78.250000,0.000000,bottom
"C19","104","C_0805_2012Metric",280.050000,-91.900000,180.000000,bottom
"D1","D_Small","D_SOD-123",31.000000,-38.250000,90.000000,bottom
"D2","D_Small","D_SOD-123",49.500000,-37.900000,90.000000,bottom
"D3","D_Small","D_SOD-123",67.750000,-37.900000,90.000000,bottom
"D4","D_Small","D_SOD-123",86.000000,-37.750000,90.000000,bottom
"D5","D_Small","D_SOD-123",104.250000,-37.750000,90.000000,bottom
"D6","D_Small","D_SOD-123",122.250000,-38.000000,90.000000,bottom
"D7","D_Small","D_SOD-123",140.500000,-37.750000,90.000000,bottom
"D8","D_Small","D_SOD-123",158.750000,-37.750000,90.000000,bottom
"D9","D_Small","D_SOD-123",176.750000,-38.000000,90.000000,bottom
"D10","D_Small","D_SOD-123",195.250000,-37.900000,90.000000,bottom
"D11","D_Small","D_SOD-123",213.000000,-38.000000,90.000000,bottom
"D12","D_Small","D_SOD-123",231.500000,-37.900000,90.000000,bottom
"D13","D_Small","D_SOD-123",268.000000,-37.750000,90.000000,bottom
"D14","D_Small","D_SOD-123",286.000000,-38.150000,90.000000,bottom
"D15","D_Small","D_SOD-123",304.500000,-38.000000,90.000000,bottom
"D16","D_Small","D_SOD-123",32.750000,-52.900000,90.000000,bottom
"D17","D_Small","D_SOD-123",53.500000,-52.900000,90.000000,bottom
"D18","D_Small","D_SOD-123",76.750000,-55.250000,90.000000,bottom
"D19","D_Small","D_SOD-123",95.000000,-55.250000,90.000000,bottom
"D20","D_Small","D_SOD-123",113.250000,-55.000000,90.000000,bottom
"D21","D_Small","D_SOD-123",131.500000,-55.150000,90.000000,bottom
"D22","D_Small","D_SOD-123",149.750000,-55.650000,90.000000,bottom
"D23","D_Small","D_SOD-123",167.750000,-55.250000,90.000000,bottom
"D24","D_Small","D_SOD-123",185.500000,-55.500000,90.000000,bottom
"D25","D_Small","D_SOD-123",204.250000,-55.150000,90.000000,bottom
"D26","D_Small","D_SOD-123",226.500000,-55.250000,90.000000,bottom
"D27","D_Small","D_SOD-123",268.000000,-55.250000,90.000000,bottom
"D28","D_Small","D_SOD-123",286.000000,-55.000000,90.000000,bottom
"D29","D_Small","D_SOD-123",304.000000,-55.150000,90.000000,bottom
"D30","D_Small","D_SOD-123",40.500000,-72.150000,90.000000,bottom
"D31","D_Small","D_SOD-123",67.500000,-72.500000,90.000000,bottom
"D32","D_Small","D_SOD-123",85.500000,-72.650000,90.000000,bottom
"D33","D_Small","D_SOD-123",100.400000,-70.550000,90.000000,bottom
"D34","D_Small","D_SOD-123",122.000000,-72.650000,90.000000,bottom
"D35","D_Small","D_SOD-123",138.000000,-70.050000,90.000000,bottom
"D36","D_Small","D_SOD-123",158.750000,-72.250000,90.000000,bottom
"D37","D_Small","D_SOD-123",177.000000,-72.500000,90.000000,bottom
"D38","D_Small","D_SOD-123",195.250000,-72.250000,90.000000,bottom
"D39","D_Small","D_SOD-123",215.250000,-72.500000,90.000000,bottom
"D40","D_Small","D_SOD-123",245.000000,-76.650000,90.000000,bottom
"D41","D_Small","D_SOD-123",268.000000,-72.250000,90.000000,bottom
"D42","D_Small","D_SOD-123",286.000000,-72.650000,90.000000,bottom
"D43","D_Small","D_SOD-123",304.250000,-72.250000,90.000000,bottom
"D44","D_Small","D_SOD-123",86.000000,-89.500000,90.000000,bottom
"D45","D_Small","D_SOD-123",113.000000,-89.500000,90.000000,bottom
"D46","D_Small","D_SOD-123",149.750000,-89.500000,90.000000,bottom
